TDS EDited Examples List - Batch 3

T317 | Rafael Laurindo | Pending | krn file is empty.
T326 | Rafael Laurindo | Complete | Changed slur orientations; added hanging tie to violin solo, m1; added slur to grace notes on violin solo; changed 'div.' position on viola
T327 | Rafael Laurindo | Pending | krn file is empty.
T329 | Rafael Laurindo | Complete | Added hanging tie to m1; added slur to grace notes; added marcato to m 9
T333 | Rafael Laurindo | Pending | krn not rendering (pink screen)
T341 | Rafael Laurindo | Complete | Changed slur orientations; added missing slur at viola m4
T344 | Kelsey Lussier | In progress |
T347 | Rafael Laurindo | Pending | krn file is empty.
T349 | Rafael Laurindo | Pending | Added tempo text and rehearsal mark; Pending: tuplet number change
T351 | Rafael Laurindo | Complete | Added tempo text
T354 | Rafael Laurindo | Complete | Added tempo text; changed slurs on grace notes; added pedal mark
T355 | Rafael Laurindo | Pending | krn file is empty.
T356 | Rafael Laurindo | Complete | Added hanging tie
T357 | Rafael Laurindo | Complete | Added hanging tie and slur; added missing slurs; added editorial dynam
T358 | Rafael Laurindo | Complete | Fixed tempo; added pedal mark
T359 | Rafael Laurindo | Pending | krn file is empty.
T369 | Rafael Laurindo | Complete | changed '118' text to rehearsal mark; added all editorail dynam
T377 | Rafael Laurindo | Complete | Changed all editorial dynam
T483 | Rafael Laurindo | Complete | Fixed hanging slurs and ties and all editorial dynam; fixed grace note at Violin m1
T484 | Rafael Laurindo | Complete | Changed all editorial dynam; fixed slurs on piano and missing dynamics


