TDS Edited Examples List - Batch 9
=======================================

T583 | Claudio de Freitas | RL | not double checked | complete |
T585 | Claudio de Freitas | RL | not double checked | complete |
T587 | Daniel Wright | RL | not double checked | complete | Cross-Measure Beaming still needs to be applied. 
T592 | Daniel Wright | RL | not double checked | complete |
T598 | Daniel Wright | RL | not double checked | complete | Rhythmic Error on beat 4 in mm.1, 3, and 6 of the excerpt in the Fl 1/2 and Clarinet parts. See audio synthesis spreadsheet. Hanging Slurs still need to be applied.
T603 | Daniel Wright | RL | not double checked | complete |
T604 | Daniel Wright | RL | not double checked | complete | Some Hanging Ties are the wrong direction, and there does not seem to be a way to force directional changes with only Slur/Tie endings. Hanging Slurs still need to be applied.
T605 | Daniel Wright | RL | not double checked | complete | Hanging Slurs still need to be applied.
T606 | Daniel Wright | RL | not double checked | complete | Hanging Slurs still need to be applied.
T607 | Daniel Wright | RL | not double checked | complete | Cross-Measure Beaming still needs to be applied.
T608 | Daniel Wright | RL | not double checked | complete | Cello needs a gliss. line between two notes between the 2nd and 3rd measure of the excerpt. Cross-Measure Beaming still needs to be applied.
T611 | Claudio de Freitas | RL | not double checked | complete | missing secondary time signature (github issue #9)
T612 | NOT RENDERING (CdF)
T613 | Claudio de Freitas | RL | not double checked | complete | missing secondary time signature (github issue #9)
T614 | Claudio de Freitas | RL | not double checked | complete | missing secondary time signature (github issue #9)
T615 | Claudio de Freitas | RL | not double checked | complete |
T617 | Claudio de Freitas | RL | not double checked | complete |
T618 | Claudio de Freitas | RL | not double checked | complete |
T619 | Claudio de Freitas | RL | not double checked | complete |
T620 | NO KERN (CdF)
