TDS Edited Examples List - Batch 10
======================================

T622 | Claudio de Freitas | JL | complete | Problem: Polymetric Time Signatures
T623 | Claudio de Freitas | JL | complete |
T624 | Claudio de Freitas | JL | complete | 
T625 | Claudio de Freitas | JL | complete |
T626 | Claudio de Freitas | JL | complete |
T627 | Claudio de Freitas | JL | complete |
T628 | Rafael Laurindo | JL | complete |
T629 | Rafael Laurindo | JL | complete |
T631 | Rafael Laurindo | JL | complete |
T632 | Rafael Laurindo | JL | complete |
T633 | Rafael Laurindo | JL | complete |
T634 | Rafael Laurindo | JL | complete |
T635 | Rafael Laurindo | JL | complete |
T636 | Rafael Laurindo | JL | complete |
T637 | Rafael Laurindo | JL | complete |
T638 | Rafael Laurindo | JL | complete |
T639 | Daniel Wright | JL | complete | Hanging Slurs have not been implemented yet.
T640 | Daniel Wright | JL | complete |
T641 | Daniel Wright | JL | complete | Hanging Slurs have not been implemented yet.
T642 | Daniel Wright | JL | complete | Hanging Slurs have not been implemented yet.


