
TDS Edited Examples List - Batch 12

T663 | Claudio de Freitas | RL | complete |
T664 | Claudio de Freitas | RL | complete |
T666 | Claudio de Freitas | RL | complete |
T668 | Claudio de Freitas | RL | complete | Problem: Polymeter affecting whole rest positions
T669A | Claudio de Freitas | RL | complete |
T669B | Claudio de Freitas | RL | complete |
T670 | Claudio de Freitas | RL | complete |
T671 | Claudio de Freitas | RL | complete | Problem: Spacing issue caused by polymeter
T672 | Claudio de Freitas | RL | complete |
T674 | NO KERN (CdF) | Daniel Wright (07/27/2022) | Problem: Unmeasured analysis of Harp; polymeter affecting whole rest positions
T675 | NO KERN (CdF) | Daniel Wright (07/27/2022) | Problem: Unmeasured analysis of Organ
T676 | Claudio de Freitas | RL | complete |
T677 | Claudio de Freitas | RL | complete |
T679 | Claudio de Freitas | RL | complete |
T680 | Claudio de Freitas | RL | complete |
T681 | Claudio de Freitas | RL | complete |
T682 | Claudio de Freitas | RL | complete |
T683 | Daniel Wright | RL | complete |
T684 | Daniel Wright | RL | complete |
T691 | Daniel Wright | RL | complete |  


