TDS Edited Examples List - Batch 15

T762 | NO KERN (CdF)
T764 | Claudio de Freitas | JL | complete |
T765 | Claudio de Freitas | JL | complete |
T768 | Claudio de Freitas | JL | complete |
T769 | Claudio de Freitas | JL | complete |
T774 | Proofread & edit complete | JL, BB | Copied from oldkern BB |
T775 | Proofread & edit complete | JL, BB | Copied from oldkern BB |
T776 | Proofread & edit complete | JL, BB | Copied from oldkern BB |
T781 | Gabriella Vici | JL | complete |
T792 | Gabriella Vici | JL | complete | Problem: Organ pedal markings
T793 | Gabriella Vici | JL | complete |
T794 | Jason Lee | BB | complete |
T796 | Gabriella Vici | JL | complete |
T797 | Gabriella Vici | JL | complete |
T800 | Gabriella Vici | JL | complete | 
T801 | Gabriella Vici | JL | complete |
T803 | Gabriella Vici | JL | complete |
T808 | Gabriella Vici | JL | complete |
T811 | Gabriella Vici | JL | complete |
T813 | Jason Lee | BB | complete |




