TDS Edited Examples List - Batch 30
T462 | Gabriella Vici | RL | complete |
T463 | Gabriella Vici | RL | complete |
T472 | Gabriella Vici | RL | complete |
T499 | Gabriella Vici | RL | complete |
T527 | no kern (GV) | Copied from oldkern BB |
T562 | Gabriella Vici | RL | complete |
T566 | Gabriella Vici | RL | complete |
T568 | Gabriella Vici | RL | complete |
T665 | Daniel Wright | RL | complete |
T693 | Daniel Wright | RL | complete | audio should be updated (noted on the audio synthesis spreadsheet).
T694 | Gabriella Vici | RL | complete |
T698 | Gabriella Vici | RL | complete |
T703 | Gabriella Vici | RL | complete |
T706 | Gabriella Vici | RL | complete |
T707 | no kern (GV)
T713 | Gabriella Vici | RL | complete | 
T718 | Gabriella Vici | RL | complete |
T719 | Gabriella Vici | RL | complete |
T720 | Gabriella Vici | RL | complete |
T740 | Gabriella Vici | RL | complete |

